Name,Hours_Studied,Previous_Sem_Percentage,Phone_Usage_Hrs,Test_Anxiety_Level,Subject_Difficulty
Aadhya 1,5.0,82.0,1.0,2.0,4.0
Meera 2,2.0,81.0,9.0,2.0,10.0
Anika 3,6.0,53.0,7.0,7.0,7.0
Saanvi 4,3.0,66.0,4.0,9.0,1.0
Aarav 5,5.0,48.0,6.0,3.0,1.0
Aarav 6,1.0,95.0,10.0,3.0,10.0
Arjun 7,5.0,61.0,7.0,4.0,6.0
Aarav 8,6.0,45.0,10.0,1.0,1.0
Diya 9,3.0,91.0,10.0,1.0,8.0
Ira 10,2.0,86.0,7.0,7.0,5.0
Ira 11,3.0,40.0,10.0,1.0,5.0
Ananya 12,6.0,40.0,3.0,2.0,10.0
Meera 13,1.0,40.0,9.0,1.0,1.0
Ishaan 14,4.0,90.0,6.0,7.0,7.0
Myra 15,3.0,82.0,10.0,6.0,6.0
Diya 16,0.0,72.0,1.0,1.0,2.0
Diya 17,6.0,40.0,8.0,6.0,8.0
Ishaan 18,4.0,40.0,8.0,5.0,9.0
Meera 19,0.0,95.0,1.0,9.0,3.0
Aarohi 20,3.0,40.0,0.0,4.0,1.0
Ananya 21,0.0,62.0,4.0,1.0,10.0
Aditya 22,4.0,40.0,3.0,5.0,7.0
Ira 23,7.0,48.0,10.0,8.0,5.0
Krishna 24,0.0,79.0,8.0,5.0,10.0
Reyansh 25,1.0,40.0,10.0,10.0,4.0
Vivaan 26,5.0,89.0,10.0,7.0,1.0
Vihaan 27,2.0,49.0,4.0,1.0,10.0
Ira 28,7.0,42.0,7.0,1.0,5.0
Aadhya 29,1.0,76.0,9.0,9.0,7.0
Diya 30,3.0,40.0,10.0,7.0,1.0
Aditya 31,1.0,68.0,2.0,10.0,1.0
Arjun 32,5.0,40.0,2.0,7.0,5.0
Aadhya 33,3.0,40.0,0.0,10.0,5.0
Ishaan 34,7.0,40.0,2.0,5.0,2.0
Reyansh 35,5.0,79.0,10.0,4.0,9.0
Vivaan 36,0.0,40.0,9.0,2.0,7.0
Sai 37,2.0,40.0,6.0,2.0,6.0
Rohan 38,7.0,40.0,0.0,3.0,10.0
Diya 39,0.0,40.0,1.0,1.0,10.0
Vivaan 40,7.0,54.0,7.0,1.0,1.0
Reyansh 41,3.0,76.0,4.0,1.0,1.0
Aarohi 42,0.0,40.0,0.0,10.0,3.0
Arjun 43,2.0,40.0,10.0,10.0,4.0
Aarohi 44,5.0,41.0,0.0,5.0,1.0
Rohan 45,6.0,63.0,8.0,1.0,10.0
Meera 46,1.0,40.0,6.0,1.0,5.0
Arjun 47,0.0,40.0,4.0,1.0,10.0
Aditya 48,2.0,95.0,10.0,8.0,8.0
Navya 49,0.0,40.0,10.0,2.0,4.0
Aarav 50,6.0,61.0,0.0,2.0,2.0
Ananya 51,2.0,81.0,3.0,1.0,10.0
Meera 52,0.0,40.0,10.0,1.0,5.0
Navya 53,4.0,40.0,3.0,1.0,6.0
Aarohi 54,4.0,40.0,0.0,9.0,7.0
Ira 55,2.0,40.0,6.0,2.0,10.0
Sai 56,4.0,40.0,7.0,1.0,9.0
Vivaan 57,0.0,88.0,2.0,6.0,4.0
Rohan 58,0.0,40.0,0.0,8.0,4.0
Ishaan 59,2.0,92.0,10.0,1.0,6.0
Rohan 60,6.0,47.0,0.0,1.0,10.0
Aditya 61,5.0,58.41530612244898,7.0,10.0,3.0
Diya 62,7.0,93.0,0.0,5.0,1.0
Myra 63,6.0,80.0,10.0,2.0,10.0
Saanvi 64,3.0,95.0,10.0,6.0,1.0
Anika 65,0.0,40.0,4.0,9.0,10.0
Vivaan 66,3.0,75.0,9.0,10.0,4.0
Vivaan 67,6.0,68.0,10.0,1.0,1.0
Sai 68,7.0,40.0,5.0,4.0,4.0
Saanvi 69,7.0,53.0,3.0,7.0,10.0
Krishna 70,0.0,95.0,7.0,1.0,4.0
Ishaan 71,7.0,81.0,0.0,1.0,6.0
Aadhya 72,5.0,90.0,10.0,6.0,5.0
Ananya 73,7.0,75.0,4.0,1.0,6.0
Myra 74,6.0,75.0,1.0,3.0,7.0
Ananya 75,0.0,40.0,10.0,5.0,4.0
Aditya 76,6.0,40.0,10.0,3.0,1.0
Meera 77,6.0,40.0,5.0,9.0,8.0
Ira 78,1.0,60.0,10.0,4.0,1.0
Navya 79,0.0,95.0,10.0,6.0,9.0
Vihaan 80,6.0,40.0,6.0,10.0,10.0
Ishaan 81,1.0,95.0,5.0,1.0,1.0
Aarohi 82,1.0,67.0,10.0,1.0,9.0
Myra 83,0.0,58.41530612244898,0.0,10.0,10.0
Anika 84,3.0,95.0,0.0,9.0,3.0
Vihaan 85,5.0,95.0,5.0,9.0,2.0
Reyansh 86,7.0,40.0,9.0,8.0,7.0
Vihaan 87,5.0,40.0,0.0,7.0,7.0
Aarohi 88,7.0,52.0,7.0,2.0,3.0
Vihaan 89,6.0,58.41530612244898,0.0,2.0,8.0
Sai 90,0.0,95.0,3.0,10.0,2.0
Aditya 91,0.0,58.41530612244898,4.0,5.0,5.0
Aarohi 92,5.0,81.0,8.0,1.0,4.0
Krishna 93,5.0,40.0,2.0,6.0,2.0
Aarav 94,6.0,69.0,8.0,4.0,10.0
Sai 95,3.0,64.0,9.0,1.0,10.0
Aditya 96,1.0,40.0,7.0,7.0,8.0
Ira 97,6.0,79.0,6.0,3.0,1.0
Vihaan 98,4.0,40.0,6.0,5.0,1.0
Aarohi 99,1.0,94.0,1.0,5.0,2.0
Ishaan 100,0.0,40.0,2.0,6.0,2.0
Myra 101,1.0,40.0,5.0,5.0,10.0
Krishna 102,3.0,40.0,6.0,1.0,1.0
Vihaan 103,1.0,40.0,10.0,1.0,4.0
Aadhya 104,0.0,40.0,10.0,5.0,2.0
Diya 105,3.0,40.0,10.0,1.0,1.0
Myra 106,5.0,95.0,10.0,1.0,1.0
Vivaan 107,5.0,70.0,5.0,1.0,10.0
Sai 108,7.0,81.0,7.0,2.0,1.0
Aditya 109,1.0,95.0,3.0,6.0,6.0
Navya 110,5.0,80.0,9.0,10.0,8.0
Arjun 111,0.0,79.0,0.0,1.0,5.0
Rohan 112,2.0,40.0,4.0,1.0,1.0
Diya 113,2.0,51.0,10.0,10.0,9.0
Saanvi 114,3.0,40.0,0.0,3.0,10.0
Anika 115,5.0,58.41530612244898,10.0,9.0,5.0
Aarohi 116,5.0,85.0,0.0,3.0,6.0
Anika 117,2.0,40.0,8.0,9.0,6.0
Saanvi 118,5.0,92.0,5.0,10.0,9.0
Aarohi 119,1.0,40.0,3.0,1.0,8.0
Rohan 120,4.0,95.0,0.0,4.0,9.0
Vihaan 121,3.0,47.0,0.0,1.0,10.0
Ishaan 122,7.0,65.0,5.0,3.0,5.0
Ananya 123,3.0,40.0,2.0,7.0,3.0
Reyansh 124,4.0,40.0,6.0,10.0,1.0
Arjun 125,2.0,40.0,8.0,3.0,10.0
Reyansh 126,5.0,40.0,2.0,4.0,7.0
Meera 127,7.0,79.0,1.0,6.0,10.0
Meera 128,5.0,86.0,3.0,9.0,5.0
Krishna 129,0.0,56.0,10.0,1.0,1.0
Navya 130,0.0,40.0,6.0,1.0,4.0
Meera 131,7.0,58.0,9.0,7.0,1.0
Rohan 132,7.0,40.0,8.0,1.0,1.0
Krishna 133,2.0,48.0,10.0,4.0,5.0
Aditya 134,7.0,95.0,10.0,3.0,10.0
Aarohi 135,1.0,59.0,0.0,9.0,1.0
Ira 136,5.0,45.0,10.0,1.0,10.0
Diya 137,4.0,47.0,10.0,5.0,1.0
Navya 138,3.0,40.0,0.0,2.0,10.0
